ITEM,PARAMETER,TANGGAL,NILAI
STORAGE 01,FFA,1,0.0455
STORAGE 01,MOIST ,1,0.002
STORAGE 01,DIRTY,1,0.00034
STORAGE 01,STOCK (KG),1,1031780.0
STORAGE 02,FFA,1,0.1545
STORAGE 02,MOIST ,1,0.1976
STORAGE 02,DIRTY,1,0.127
STORAGE 02,STOCK,1,85868.0
STORAGE 03,FFA,1,0.048
STORAGE 03,MOIST ,1,0.002
STORAGE 03,DIRTY,1,0.00032
STORAGE 03,STOCK,1,100984.0
BUNKER NO.1,MOIST ,1,0.07604
BUNKER NO.1,DIRTY,1,0.05581
BUNKER NO.1,STOCK (KG),1,13433.0
BUNKER NO.2,MOIST ,1,0.0567
BUNKER NO.2,DIRTY,1,0.0615
BUNKER NO.2,STOCK (KG),1,33114.0
CANGKANG,STOCK (KG),1,187878.45771001268
JANGKOS,STOCK (KG),1,181674.0
JANGKOS,,1,0.1545
STORAGE 01,FFA,2,0.0505
STORAGE 01,MOIST ,2,0.002
STORAGE 01,DIRTY,2,0.00048
STORAGE 01,STOCK (KG),2,713414.0
STORAGE 02,FFA,2,0.1545
STORAGE 02,MOIST ,2,0.1976
STORAGE 02,DIRTY,2,0.127
STORAGE 02,STOCK,2,85868.0
STORAGE 03,FFA,2,0.0503
STORAGE 03,MOIST ,2,0.0014
STORAGE 03,DIRTY,2,0.00031
STORAGE 03,STOCK,2,100984.0
BUNKER NO.1,MOIST ,2,0.07604
BUNKER NO.1,DIRTY,2,0.05581
BUNKER NO.1,STOCK (KG),2,13433.0
BUNKER NO.2,MOIST ,2,0.0567
BUNKER NO.2,DIRTY,2,0.0615
BUNKER NO.2,STOCK (KG),2,34571.0
CANGKANG,PRODUKSI (KG),2,53770.0
CANGKANG,PEMAKAIAN (KG),2,51082.0
CANGKANG,STOCK (KG),2,190566.45771001268
JANGKOS,PRODUKSI ,2,99026.0
JANGKOS,STOCK (KG),2,171820.0
JANGKOS,,2,0.1976
STORAGE 01,FFA,3,0.0503
STORAGE 01,MOIST ,3,0.0032
STORAGE 01,DIRTY,3,0.00035
STORAGE 01,STOCK (KG),3,661906.0
STORAGE 02,FFA,3,0.1545
STORAGE 02,MOIST ,3,0.1976
STORAGE 02,DIRTY,3,0.127
STORAGE 02,STOCK,3,83868.0
STORAGE 03,FFA,3,0.0503
STORAGE 03,MOIST ,3,0.0014
STORAGE 03,DIRTY,3,0.00031
STORAGE 03,STOCK,3,100984.0
BUNKER NO.1,MOIST ,3,0.07604
BUNKER NO.1,DIRTY,3,0.05581
BUNKER NO.1,STOCK (KG),3,13433.0
BUNKER NO.2,MOIST ,3,0.0558
